,,Subject,,,295,
,,Protocol,,,IRTT_long,
,,Type,,,Master,
,,Channel,,,4,
,,Master,,,,
,,Date,,,2023-07-20,
,,Time,,,09:56:17,765,
,,Clock,,,5,
,,Time Warp,,,1x,
359,192,300,Entry,5,TimeOut,,
360,192,630,Input,35,Off1A3,,
361,192,630,Input,36,Off1A4,,
362,192,865,Input,3,On1A3,,
363,192,865,Input,4,On1A4,,
364,193,210,Input,35,Off1A3,,
365,193,210,Input,36,Off1A4,,
366,197,305,Exit,5,TimeOut,Time,
367,197,305,Entry,1,MagEntry,,
368,197,305,Reg,2,ComptNbessai,   13,000,
369,197,305,Reg,12,Accuracy,   66,667,
370,197,305,Reg,13,Omission,    7,692,
371,199,885,Input,1,On1A1,,
372,199,885,Exit,1,MagEntry,1,
373,199,885,Entry,2,ITI2sec,,
374,200,230,Input,33,Off1A1,,
375,200,325,Input,1,On1A1,,
376,200,885,Exit,2,ITI2sec,Time,
377,200,885,List,,ITItime,   23,000,
378,200,885,Entry,23,sec3,,
379,200,885,Reg,20,stage3,    4,000,
380,201,325,Input,33,Off1A1,,
381,204,875,Input,3,On1A3,,
382,204,875,Input,4,On1A4,,
383,204,875,Exit,23,sec3,3,
384,204,875,Entry,24,prematuresec7,,
385,204,875,Reg,16,premsec3,    3,000,
386,204,885,Exit,24,prematuresec7,Time,
387,204,885,Entry,4,Premature,,
388,204,885,Reg,5,ComptPremat,    9,000,
389,204,890,Exit,4,Premature,Time,
390,204,890,Entry,5,TimeOut,,
391,205,220,Input,35,Off1A3,,
392,205,220,Input,36,Off1A4,,
393,208,665,Input,1,On1A1,,
394,209,010,Input,33,Off1A1,,
395,209,895,Exit,5,TimeOut,Time,
396,209,895,Entry,1,MagEntry,,
397,209,895,Reg,2,ComptNbessai,   14,000,
398,209,895,Reg,12,Accuracy,   66,667,
399,209,895,Reg,13,Omission,    7,143,
400,217,640,Input,1,On1A1,,
401,217,640,Exit,1,MagEntry,1,
402,217,640,Entry,2,ITI2sec,,
403,217,980,Input,33,Off1A1,,
404,218,640,Exit,2,ITI2sec,Time,
405,218,640,List,,ITItime,   21,000,
406,218,640,Entry,21,sec2,,
